Women's Pulse Jersey,UCJ98F_SS_DCM,CJ98F-SS-DCM,J98S0010F,Sugoi,CCN,319,111,87,72,62,56,54,52,6110300082,312.75,101,79,63,55,51,49,47,6110303059,18.95
Men's Pulse Jersey,UCJ98M_SS_DCM,CJ98M-SS-DCM,J98S0010M,Sugoi,CCN,319,111,87,72,62,56,54,52,6110300081,312.75,101,79,63,55,51,49,47,6110303053,19.45
Men's RS Thermal Jacket,UCK08M_BA_F32,CK08M-BA-F32,K080A010M,Sugoi,CCN,374,199,155,130,112,100,96,93,6101300000,362.75,181,141,113,98,91,88,85,6101302010,36.75
Men's RS Thermal Jacket ZAP,UCK08M_X1_F3P,CK08M-X1-F3P,K080Z020M,Sugoi,CCN,379,204,160,135,117,105,101,98,6101300000,367.75,186,146,118,103,96,93,90,6101302010,36.75
Women's RS Thermal Jacket,UCK13F_BA_F32,CK13F-BA-F32,K130A010F,Sugoi,CCN,374,199,155,130,112,100,96,93,6102300000,362.75,181,141,113,98,91,88,85,6101302010,36.75
Women's RS Thermal Jacket ZAP,UCK13F_X1_F3P,CK13F-X1-F3P,K130Z020F,Sugoi,CCN,379,204,160,135,117,105,101,98,6102300000,367.75,186,146,118,103,96,93,90,6101302010,36.75
Women's Evolution Windblock Jacket,UCK15F_FS.BA.BP_F10,CK15F-FSBABP-F10,K15FAK10F,Sugoi,CCN,352,164,128,107,89,82,79,77,6202930020,342.75,149,116,93,81,75,72,70,6202934800,19.29
Women's Evolution Windblock Jacket ZAP,UCK15F_FS.X1.BP_F1P,CK15F-FSX1BP-F1P,K15FZK20F,Sugoi,CCN,357,169,133,112,94,87,84,82,6202930020,347.75,154,121,98,86,80,77,75,6202934800,21.29
Men's Evolution Windblock Jacket,UCK15M_FS.BA.BP_F10,CK15M-FSBABP-F10,K15FAK10M,Sugoi,CCN,352,164,128,107,89,82,79,77,6201930035,342.75,149,116,93,81,75,72,70,6201934700,19.29
Men's Evolution Windblock Jacket ZAP,UCK15M_FS.X1.BP_F1P,CK15M-FSX1BP-F1P,K15FZK20M,Sugoi,CCN,357,169,133,112,94,87,84,82,6201930035,347.75,154,121,98,86,80,77,75,6201934700,21.29
RnR Hoodie,UCK30U_FS.P2_MID,CK30U-FSP2-MID,K30F0210U,Sugoi,CCN,350.5,161,126,105,92,81,78,75,6110300081,341.25,146,114,92,79,74,71,69,6110303053,33.65
Women's LS Turbo Tee ,UCP04F_LS.FS_DRT,CP04F-LSFS-DRT,P04LS010F,Sugoi,CCN,300.25,81,63,52,44,41,39,38,6110300092,295.75,74,58,46,40,37,36,35,6110303059,10.97
Women's SS Turbo Tee ,UCP04F_SS.FS_DRT,CP04F-SSFS-DRT,P04SS010F,Sugoi,CCN,289.25,63,49,41,34,32,31,30,6110300092,285.75,58,45,36,31,29,28,27,6110303059,9.62
Men's LS Turbo Tee,UCP06M_LS.FS_DRT,CP06M-LSFS-DRT,P06LS010M,Sugoi,CCN,300.25,81,63,52,44,41,39,38,6110300091,295.75,74,58,46,40,37,36,35,6110303053,11.25
Men's SS Turbo Tee,UCP06M_SS.FS_DRT,CP06M-SSFS-DRT,P06SS010M,Sugoi,CCN,289.25,63,49,41,34,32,31,30,6110300091,285.75,58,45,36,31,29,28,27,6110303053,9.62
Women's RnR Polo,UCP30F_SS.FS.B3_BBS,CP30F-SSFSB3-BBS,P30SS310F,Sugoi,CCN,160,81,75,67,62,57,52,47,6110300081,117,59,55,49,45,42,38,34,6110303053,17.65
Men's RnR Polo,UCP30M_SS.FS.B3_BBS,CP30M-SSFSB3-BBS,P30SS310M,Sugoi,CCN,160,81,75,67,62,57,52,47,6110300081,117,59,55,49,45,42,38,34,6110303053,18.15
Women's RS Tri Tank,UCQ04F_IN_U2V,CQ04F-IN-U2V,Q040I010F,Sugoi,CCN,310.75,98,76,63,55,49,47,46,6109900010,305.25,89,69,56,48,45,43,42,6109901090,16.61
Men's RS Tri Tank,UCQ04M_IN_U2V,CQ04M-IN-U2V,Q040I010M,Sugoi,CCN,310.75,98,76,63,55,49,47,46,6109900010,305.25,89,69,56,48,45,43,42,6109901013,17.11
Men's Turbo Singlet,UCR03M_FNM,CR03M-FNM,R0300010M,Sugoi,CCN,283.75,56,45,37,33,30,29,28,6109900010,280.75,500,39,31,27,25,24,23,6109901013,9.36
Women's Turbo Singlet,UCR04F_FNM,CR04F-FNM,R0400010F,Sugoi,CCN,283.75,56,45,37,33,30,29,28,6109900010,280.75,50,39,31,27,25,24,23,6109901090,9.36
